Campaign Name,Ad Set Name,Ad Name,Day,Impressions,Results,Amount Spent (USD),Purchase,Signup,Link Clicks,Status reasons
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-27,12248,10,233.5687,6,10,82,limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-21,12143,10,179.3432,8,10,75,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-29,11135,12,237.4607,11,12,74,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-19,8651,13,183.2949,9,13,73,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-16,11369,13,202.5639,7,13,69,campaign paused; limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-28,11763,11,230.6318,4,11,67,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-17,10174,11,178.4836,5,11,66,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-18,9122,6,183.1277,3,6,63,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-20,9294,9,169.0878,6,9,62,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-30,9852,8,238.7143,8,8,61,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-08,10677,9,199.6031,2,9,59,indc
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-20,6053,4,77.9597,8,4,54,status check
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-15,10861,7,202.1699,4,7,52,status check
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-23,5479,9,109.6928,7,9,47,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-21,7854,8,142.8943,5,8,45,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-12,6516,3,121.3211,4,3,43,indc
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-14,8215,7,154.9046,6,7,40,campaign paused; limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-09,6627,6,137.8204,5,6,39,campaign paused; limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-06,4951,2,87.9166,,2,39,limited by budget
